Sl no,Student id,Name,Branch,Group,Slot 1,Slot 2,Slot 3,Venue
232,1RV26CSE053,Varun Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
233,1RV26CSE054,Sanjana Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
234,1RV26CSE055,Ritvik Chauhan,CSE,B,9:15 AM - 10:30 AM,,,civil
235,1RV26CSE056,Shashank Menon,CSE,B,9:15 AM - 10:30 AM,,,civil
236,1RV26CSE057,Karthik Soni,CSE,B,9:15 AM - 10:30 AM,,,civil
237,1RV26CSE058,Harini Shetty,CSE,B,9:15 AM - 10:30 AM,,,civil
238,1RV26CSE059,Aarohi Desai,CSE,B,9:15 AM - 10:30 AM,,,civil
239,1RV26CSE060,Shruti Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
240,1RV26CSE061,Aditya Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
241,1RV26CSE062,Kavya Pandey,CSE,B,9:15 AM - 10:30 AM,,,civil
242,1RV26CSE063,Aman Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
243,1RV26CSE064,Diya Yadav,CSE,B,9:15 AM - 10:30 AM,,,civil
244,1RV26CSE065,Madhav Bhat,CSE,B,9:15 AM - 10:30 AM,,,civil
245,1RV26CSE066,Sneha Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
246,1RV26CSE067,Aman Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
247,1RV26CSE068,Lakshmi Nair,CSE,B,9:15 AM - 10:30 AM,,,civil
248,1RV26CSE069,Priya Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
249,1RV26CSE070,Meera Joshi,CSE,B,9:15 AM - 10:30 AM,,,civil
250,1RV26CSE071,Shashank Gowda,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
251,1RV26CSE072,Rahul Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
252,1RV26CSE073,Pranav Shetty,CSE,B,9:15 AM - 10:30 AM,,,civil
253,1RV26CSE074,Varun Nair,CSE,B,9:15 AM - 10:30 AM,,,civil
254,1RV26CSE075,Sai Naik,CSE,B,9:15 AM - 10:30 AM,,,civil
255,1RV26CSE076,Harini Naik,CSE,B,9:15 AM - 10:30 AM,,,civil
256,1RV26CSE077,Ritika Hegde,CSE,B,9:15 AM - 10:30 AM,,,civil
257,1RV26CSE078,Aman Naik,CSE,B,9:15 AM - 10:30 AM,,,civil
258,1RV26CSE079,Aarav Pawar,CSE,B,9:15 AM - 10:30 AM,,,civil
259,1RV26CSE080,Vivek Kumar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
260,1RV26CSE081,Bhavana Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
261,1RV26CSE082,Rishi Yadav,CSE,B,9:15 AM - 10:30 AM,,,civil
262,1RV26CSE083,Aman Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
263,1RV26CSE084,Aman Singh,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
264,1RV26CSE085,Divya Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
265,1RV26CSE086,Sahana Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
266,1RV26CSE087,Sai Chauhan,CSE,B,9:15 AM - 10:30 AM,,,civil
267,1RV26CSE088,Sahana Pandey,CSE,B,9:15 AM - 10:30 AM,,,civil
268,1RV26CSE089,Vihaan Yadav,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
269,1RV26CSE090,Krishna Kumar,CSE,B,9:15 AM - 10:30 AM,,,civil
270,1RV26CSE091,Kunal Yadav,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
271,1RV26CSE092,Aarohi Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
272,1RV26CSE093,Riya Bhat,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
273,1RV26CSE094,Sneha Iyer,CSE,B,9:15 AM - 10:30 AM,,,civil
274,1RV26CSE095,Kunal Yadav,CSE,B,9:15 AM - 10:30 AM,,,civil
275,1RV26CSE096,Shashank Mehta,CSE,B,9:15 AM - 10:30 AM,,,civil
276,1RV26CSE097,Arjun Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
277,1RV26CSE098,Anjali Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
278,1RV26CSE099,Vaishnavi Hegde,CSE,B,9:15 AM - 10:30 AM,,,civil
279,1RV26CSE100,Shashank Mishra,CSE,B,9:15 AM - 10:30 AM,,,civil
280,1RV26CSE101,Nikhil Patil,CSE,B,9:15 AM - 10:30 AM,,,civil
281,1RV26CSE102,Aman Soni,CSE,B,9:15 AM - 10:30 AM,,,civil
282,1RV26CSE103,Dev Patil,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
283,1RV26CSE104,Rohan Soni,CSE,B,9:15 AM - 10:30 AM,,,civil
284,1RV26CSE105,Ananya Kulkarni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
285,1RV26CSE106,Anika Mehta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
286,1RV26CSE107,Aman Rao,CSE,B,9:15 AM - 10:30 AM,,,chemical
287,1RV26CSE108,Rohan Kumar,CSE,B,9:15 AM - 10:30 AM,,,chemical
288,1RV26CSE109,Pooja Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
289,1RV26CSE110,Ananya Gupta,CSE,B,9:15 AM - 10:30 AM,,,civil
290,1RV26CSE111,Tanvi Jain,CSE,B,9:15 AM - 10:30 AM,,,civil
291,1RV26CSE112,Harini Verma,CSE,B,9:15 AM - 10:30 AM,,,civil
292,1RV26CSE113,Arjun Shetty,CSE,B,9:15 AM - 10:30 AM,,,chemical
293,1RV26CSE114,Diya Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
294,1RV26CSE115,Bhavana Joshi,CSE,B,9:15 AM - 10:30 AM,,,civil
295,1RV26CSE116,Ishita Patil,CSE,B,9:15 AM - 10:30 AM,,,civil
296,1RV26CSE117,Ishita Chauhan,CSE,B,9:15 AM - 10:30 AM,,,civil
297,1RV26CSE118,Yash Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
298,1RV26CSE119,Rishi Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
299,1RV26CSE120,Vishal Pandey,CSE,B,9:15 AM - 10:30 AM,,,chemical
300,1RV26CSE121,Manya Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
301,1RV26CSE122,Bhavana Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
302,1RV26CSE123,Naveen Shetty,CSE,B,9:15 AM - 10:30 AM,,,chemical
303,1RV26CSE124,Arjun Das,CSE,B,9:15 AM - 10:30 AM,,,chemical
304,1RV26CSE125,Priya Nair,CSE,B,9:15 AM - 10:30 AM,,,civil
305,1RV26CSE126,Vivek Das,CSE,B,9:15 AM - 10:30 AM,,,chemical
306,1RV26CSE127,Karthik Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
307,1RV26CSE128,Sneha Reddy,CSE,B,9:15 AM - 10:30 AM,,,civil
308,1RV26CSE129,Sneha Iyer,CSE,B,9:15 AM - 10:30 AM,,,civil
309,1RV26CSE130,Harsh Kale,CSE,B,9:15 AM - 10:30 AM,,,chemical
310,1RV26CSE131,Kunal Jain,CSE,B,9:15 AM - 10:30 AM,,,chemical
311,1RV26CSE132,Aman Jain,CSE,B,9:15 AM - 10:30 AM,,,chemical
312,1RV26CSE133,Kunal Das,CSE,B,9:15 AM - 10:30 AM,,,chemical
313,1RV26CSE134,Rishi Gupta,CSE,B,9:15 AM - 10:30 AM,,,chemical
314,1RV26CSE135,Lakshmi Shetty,CSE,B,9:15 AM - 10:30 AM,,,civil
315,1RV26CSE136,Nisha Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
316,1RV26CSE137,Karthik Iyer,CSE,B,9:15 AM - 10:30 AM,,,chemical
317,1RV26CSE138,Pooja Kale,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
318,1RV26CSE139,Shruti Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
319,1RV26CSE140,Tanvi Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
320,1RV26CSE141,Krishna Gupta,CSE,B,9:15 AM - 10:30 AM,,,chemical
321,1RV26CSE142,Harsh Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
322,1RV26CSE143,Riya Gowda,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
323,1RV26CSE144,Ananya Hegde,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
324,1RV26CSE145,Karthik Gupta,CSE,B,9:15 AM - 10:30 AM,,,chemical
325,1RV26CSE146,Shruti Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
326,1RV26CSE147,Sanjana Kulkarni,CSE,B,9:15 AM - 10:30 AM,,,chemical
327,1RV26CSE148,Rahul Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
328,1RV26CSE149,Harsh Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
329,1RV26CSE150,Aditi Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
330,1RV26CSE151,Lakshmi Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
331,1RV26CSE152,Kavya Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
332,1RV26CSE153,Varun Kale,CSE,B,9:15 AM - 10:30 AM,,,chemical
333,1RV26CSE154,Aman Nair,CSE,B,9:15 AM - 10:30 AM,,,chemical
334,1RV26CSE155,Karthik Pawar,CSE,B,9:15 AM - 10:30 AM,,,chemical
335,1RV26CSE156,Priya Kapoor,CSE,B,9:15 AM - 10:30 AM,,,chemical
336,1RV26CSE157,Dev Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
337,1RV26CSE158,Dev Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
338,1RV26CSE159,Riya Patil,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
339,1RV26CSE160,Aryan Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
340,1RV26CSE161,Sneha Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
341,1RV26CSE162,Anjali Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
342,1RV26CSE163,Harsh Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
343,1RV26CSE164,Meera Reddy,CSE,B,9:15 AM - 10:30 AM,,,chemical
344,1RV26CSE165,Anika Gupta,CSE,B,9:15 AM - 10:30 AM,,,chemical
345,1RV26CSE166,Lakshmi Shetty,CSE,B,9:15 AM - 10:30 AM,,,chemical
346,1RV26CSE167,Sanjana Nair,CSE,B,9:15 AM - 10:30 AM,,,chemical
347,1RV26CSE168,Harsh Nair,CSE,B,9:15 AM - 10:30 AM,,,chemical
348,1RV26CSE169,Rachana Patil,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
349,1RV26CSE170,Naveen Pandey,CSE,B,9:15 AM - 10:30 AM,,,chemical
350,1RV26CSE171,Nikhil Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
351,1RV26CSE172,Siddharth Pandey,CSE,B,9:15 AM - 10:30 AM,,,chemical
352,1RV26CSE173,Vihaan Bhat,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ece
353,1RV26CSE174,Arjun Pandey,CSE,B,9:15 AM - 10:30 AM,,,mca
354,1RV26CSE175,Anirudh Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
355,1RV26CSE176,Madhav Joshi,CSE,B,9:15 AM - 10:30 AM,,,mca
356,1RV26CSE177,Pragya Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
357,1RV26CSE178,Sahana Kulkarni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
358,1RV26CSE179,Harini Kapoor,CSE,B,9:15 AM - 10:30 AM,,,chemical
359,1RV26CSE180,Rachana Shetty,CSE,B,9:15 AM - 10:30 AM,,,chemical
360,1RV26CSE181,Charvi Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
361,1RV26CSE182,Sahana Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
362,1RV26CSE183,Diya Rao,CSE,B,9:15 AM - 10:30 AM,,,chemical
363,1RV26CSE184,Meera Sharma,CSE,B,9:15 AM - 10:30 AM,,,chemical
364,1RV26CSE185,Yash Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
365,1RV26CSE186,Vishal Kale,CSE,B,9:15 AM - 10:30 AM,,,mca
366,1RV26CSE187,Neha Patil,CSE,B,9:15 AM - 10:30 AM,,,chemical
367,1RV26CSE188,Bhavana Iyer,CSE,B,9:15 AM - 10:30 AM,,,chemical
368,1RV26CSE189,Vishal Verma,CSE,B,9:15 AM - 10:30 AM,,,mca
369,1RV26CSE190,Divya Kumar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
370,1RV26CSE191,Sai Soni,CSE,B,9:15 AM - 10:30 AM,,,mca
371,1RV26CSE192,Sai Mishra,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
372,1RV26CSE193,Madhav Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
373,1RV26CSE194,Arjun Kulkarni,CSE,B,9:15 AM - 10:30 AM,,,mca
374,1RV26CSE195,Tejas Singh,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
375,1RV26CSE196,Pragya Kumar,CSE,B,9:15 AM - 10:30 AM,,,chemical
376,1RV26CSE197,Diya Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
377,1RV26CSE198,Ananya Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
378,1RV26CSE199,Anjali Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
379,1RV26CSE200,Shashank Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
380,1RV26CSE201,Karthik Pandey,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
381,1RV26CSE202,Dev Iyer,CSE,B,9:15 AM - 10:30 AM,,,mca
382,1RV26CSE203,Siddharth Singh,CSE,B,9:15 AM - 10:30 AM,,,mca
383,1RV26CSE204,Vihaan Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
384,1RV26CSE205,Sanjana Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
385,1RV26CSE206,Divya Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
386,1RV26CSE207,Vaishnavi Singh,CSE,B,9:15 AM - 10:30 AM,,,chemical
387,1RV26CSE208,Karthik Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
388,1RV26CSE209,Ritvik Nair,CSE,B,9:15 AM - 10:30 AM,,,mca
389,1RV26CSE210,Aarav Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
390,1RV26CSE211,Harini Kulkarni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
391,1RV26CSE212,Manya Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
392,1RV26CSE213,Sai Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
393,1RV26CSE214,Priya Rao,CSE,B,9:15 AM - 10:30 AM,,,chemical
394,1RV26CSE215,Nandini Kumar,CSE,B,9:15 AM - 10:30 AM,,,chemical
395,1RV26CSE216,Ritvik Kale,CSE,B,9:15 AM - 10:30 AM,,,mca
396,1RV26CSE217,Dev Hegde,CSE,B,9:15 AM - 10:30 AM,,,mca
397,1RV26CSE218,Nisha Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
398,1RV26CSE219,Nikhil Das,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
399,1RV26CSE220,Sanjana Desai,CSE,B,9:15 AM - 10:30 AM,,,chemical
400,1RV26CSE221,Lakshmi Yadav,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
401,1RV26CSE222,Sanjana Kapoor,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
402,1RV26CSE223,Rishi Bhat,CSE,B,9:15 AM - 10:30 AM,,,mca
403,1RV26CSE224,Tanvi Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
404,1RV26CSE225,Yash Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
405,1RV26CSE226,Tejas Nair,CSE,B,9:15 AM - 10:30 AM,,,mca
406,1RV26CSE227,Yash Kale,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
407,1RV26CSE228,Aditi Kumar,CSE,B,9:15 AM - 10:30 AM,,,chemical
408,1RV26CSE229,Kavya Shetty,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
409,1RV26CSE230,Vishal Pawar,CSE,B,9:15 AM - 10:30 AM,,,mca
410,1RV26CSE231,Pragya Shetty,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
411,1RV26CSE232,Anika Hegde,CSE,B,9:15 AM - 10:30 AM,,,chemical
412,1RV26CSE233,Dev Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
413,1RV26CSE234,Vihaan Mehta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
414,1RV26CSE235,Rahul Pandey,CSE,B,9:15 AM - 10:30 AM,,,mca
415,1RV26CSE236,Vivek Gupta,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
416,1RV26CSE237,Dev Naik,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
417,1RV26CSE238,Rishi Yadav,CSE,B,9:15 AM - 10:30 AM,,,mca
418,1RV26CSE239,Sahana Menon,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
419,1RV26CSE240,Rachana Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
420,1RV26CSE241,Aarav Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
421,1RV26CSE242,Tanvi Iyer,CSE,B,9:15 AM - 10:30 AM,,,chemical
422,1RV26CSE243,Ritika Menon,CSE,B,9:15 AM - 10:30 AM,,,chemical
423,1RV26CSE244,Vaishnavi Reddy,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
424,1RV26CSE245,Vivek Hegde,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
425,1RV26CSE246,Anirudh Sharma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
426,1RV26CSE247,Sahana Hegde,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
427,1RV26CSE248,Manya Kumar,CSE,B,9:15 AM - 10:30 AM,,,chemical
428,1RV26CSE249,Sahana Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
429,1RV26CSE250,Divya Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
430,1RV26CSE251,Ananya Patil,CSE,B,9:15 AM - 10:30 AM,,,mca
431,1RV26CSE252,Anjali Desai,CSE,B,9:15 AM - 10:30 AM,,,mca
432,1RV26CSE253,Priya Kapoor,CSE,B,9:15 AM - 10:30 AM,,,mca
433,1RV26CSE254,Varun Pawar,CSE,B,9:15 AM - 10:30 AM,,,mca
434,1RV26CSE255,Varun Pawar,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
435,1RV26CSE256,Dhruv Hegde,CSE,B,9:15 AM - 10:30 AM,,,mca
436,1RV26CSE257,Vaishnavi Pawar,CSE,B,9:15 AM - 10:30 AM,,,mca
437,1RV26CSE258,Aarav Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ete
438,1RV26CSE259,Ananya Yadav,CSE,B,9:15 AM - 10:30 AM,,,mca
439,1RV26CSE260,Varun Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
440,1RV26CSE261,Anika Sharma,CSE,B,9:15 AM - 10:30 AM,,,mca
441,1RV26CSE262,Rahul Gowda,CSE,B,9:15 AM - 10:30 AM,,,mca
442,1RV26CSE263,Madhav Pawar,CSE,B,9:15 AM - 10:30 AM,,,mca
443,1RV26CSE264,Ritika Mishra,CSE,B,9:15 AM - 10:30 AM,,,mca
444,1RV26CSE265,Pooja Desai,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
445,1RV26CSE266,Madhav Chauhan,CSE,B,9:15 AM - 10:30 AM,,,bt
446,1RV26CSE267,Shashank Nair,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
447,1RV26CSE268,Aditi Patil,CSE,B,9:15 AM - 10:30 AM,,,mca
448,1RV26CSE269,Manya Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
449,1RV26CSE270,Anirudh Nair,CSE,B,9:15 AM - 10:30 AM,,,bt
450,1RV26CSE271,Sahana Desai,CSE,B,9:15 AM - 10:30 AM,,,mca
451,1RV26CSE272,Aditi Chauhan,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
452,1RV26CSE273,Ishan Mehta,CSE,B,9:15 AM - 10:30 AM,,,bt
453,1RV26CSE274,Lakshmi Singh,CSE,B,9:15 AM - 10:30 AM,,,mca
454,1RV26CSE275,Aryan Yadav,CSE,B,9:15 AM - 10:30 AM,,,bt
455,1RV26CSE276,Rishi Iyer,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
456,1RV26CSE277,Neha Jain,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
457,1RV26CSE278,Sahana Soni,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
458,1RV26CSE279,Ishan Mehta,CSE,B,9:15 AM - 10:30 AM,,,bt
459,1RV26CSE280,Shashank Rao,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
460,1RV26CSE281,Neha Verma,CSE,B,9:15 AM - 10:30 AM,,,mca
461,1RV26CSE282,Siddharth Hegde,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
462,1RV26CSE283,Kunal Yadav,CSE,B,9:15 AM - 10:30 AM,,,bt
463,1RV26CSE284,Aryan Verma,CSE,A,9:15 AM - 10:30 AM,10:30 AM - 11:00 AM,11:00 AM - 11:45 AM,ise
464,1RV26CSE285,Harini Das,CSE,B,9:15 AM - 10:30 AM,,,mca
465,1RV26CSE286,Karthik Bhat,CSE,B,9:15 AM - 10:30 AM,,,bt
466,1RV26CSE287,Karthik Gowda,CSE,B,9:15 AM - 10:30 AM,,,bt
